preface,word,ngram,cnt
2nd-tallest building,in,2nd-tallest building in,1
555 California,Street,555 California Street,1
<s> 555,California,<s> 555 California,1
<s> The,Transamerica,<s> The Transamerica,1
<s> This,is,<s> This is,1
California Street,is,California Street is,1
Francisco .,</s>,Francisco . </s>,2
Francisco :,</s>,Francisco : </s>,1
Pyramid is,the,Pyramid is the,1
San Francisco,.,San Francisco .,2
San Francisco,:,San Francisco :,1
Street is,the,Street is the,1
The Transamerica,Pyramid,The Transamerica Pyramid,1
This is,a,This is a,1
Transamerica Pyramid,is,Transamerica Pyramid is,1
a list,containing,a list containing,1
building in,San,building in San,2
buildings in,San,buildings in San,1
in San,Francisco,in San Francisco,3
is a,list,is a list,1
is the,2nd-tallest,is the 2nd-tallest,1
is the,tallest,is the tallest,1
list containing,the,list containing the,1
tallest building,in,tallest building in,1
tallest buildings,in,tallest buildings in,1
the 2nd-tallest,building,the 2nd-tallest building,1
the tallest,building,the tallest building,1
the tallest,buildings,the tallest buildings,1
containing the,tallest,containing the tallest,1
